date,time,open,high,low,close,volume
2022.11.24,16:00,1.04228,1.04270,1.04192,1.04217,1106
2022.11.24,16:15,1.04219,1.04274,1.04165,1.04267,1214
2022.11.24,16:30,1.04266,1.04268,1.04159,1.04223,1271
2022.11.24,16:45,1.04224,1.04266,1.04171,1.04222,1180
2022.11.24,17:00,1.04221,1.04229,1.04113,1.04124,1227
2022.11.24,17:15,1.04125,1.04153,1.04080,1.04095,930
2022.11.24,17:30,1.04094,1.04237,1.04088,1.04215,1018
2022.11.24,17:45,1.04216,1.04234,1.04043,1.04095,1278
2022.11.24,18:00,1.04096,1.04144,1.04072,1.04096,1208
2022.11.24,18:15,1.04097,1.04103,1.04020,1.04058,782
2022.11.24,18:30,1.04057,1.04112,1.04031,1.04072,605
2022.11.24,18:45,1.04073,1.04085,1.04052,1.04071,430
2022.11.24,19:00,1.04070,1.04090,1.04023,1.04071,607
2022.11.24,19:15,1.04072,1.04085,1.04028,1.04068,435
2022.11.24,19:30,1.04067,1.04075,1.04019,1.04061,392
2022.11.24,19:45,1.04062,1.04096,1.04060,1.04088,259
2022.11.24,20:00,1.04089,1.04100,1.04033,1.04044,249
2022.11.24,20:15,1.04045,1.04057,1.04034,1.04034,109
2022.11.24,20:30,1.04035,1.04037,1.04013,1.04024,143
2022.11.24,20:45,1.04025,1.04057,1.04024,1.04056,171
2022.11.24,21:00,1.04055,1.04070,1.04049,1.04052,189
2022.11.24,21:15,1.04054,1.04058,1.04043,1.04052,112
2022.11.24,21:30,1.04051,1.04059,1.04042,1.04048,155
2022.11.24,21:45,1.04047,1.04137,1.04044,1.04135,314
2022.11.24,22:00,1.04134,1.04141,1.04093,1.04096,281
2022.11.24,22:15,1.04097,1.04105,1.04060,1.04083,169
2022.11.24,22:30,1.04082,1.04106,1.04079,1.04102,215
2022.11.24,22:45,1.04103,1.04131,1.04094,1.04131,328
2022.11.24,23:00,1.04132,1.04132,1.04082,1.04086,370
2022.11.24,23:15,1.04086,1.04120,1.04082,1.04106,297
2022.11.24,23:30,1.04106,1.04114,1.04098,1.04102,283
2022.11.24,23:45,1.04102,1.04122,1.04100,1.04121,156
2022.11.25,00:00,1.04112,1.04112,1.04073,1.04080,14
2022.11.25,00:15,1.04080,1.04081,1.04078,1.04078,19
2022.11.25,00:30,1.04078,1.04087,1.04069,1.04087,246
2022.11.25,00:45,1.04087,1.04088,1.04071,1.04083,119
2022.11.25,01:00,1.04083,1.04097,1.04067,1.04089,414
2022.11.25,01:15,1.04089,1.04094,1.04067,1.04068,480
2022.11.25,01:30,1.04068,1.04087,1.04068,1.04082,283
2022.11.25,01:45,1.04082,1.04083,1.04073,1.04076,281
2022.11.25,02:00,1.04076,1.04112,1.03987,1.03988,496
2022.11.25,02:15,1.03989,1.04023,1.03988,1.03993,432
2022.11.25,02:30,1.03992,1.04026,1.03961,1.04017,582
2022.11.25,02:45,1.04018,1.04065,1.04014,1.04058,803
2022.11.25,03:00,1.04056,1.04097,1.04036,1.04059,800
2022.11.25,03:15,1.04058,1.04151,1.04056,1.04133,844
2022.11.25,03:30,1.04132,1.04148,1.04046,1.04113,976
2022.11.25,03:45,1.04114,1.04135,1.04092,1.04096,726
2022.11.25,04:00,1.04095,1.04132,1.04092,1.04125,592
2022.11.25,04:15,1.04126,1.04142,1.04083,1.04099,700
2022.11.25,04:30,1.04098,1.04128,1.04085,1.04113,622
2022.11.25,04:45,1.04114,1.04157,1.04102,1.04112,558
2022.11.25,05:00,1.04111,1.04141,1.04046,1.04113,648
2022.11.25,05:15,1.04115,1.04133,1.04095,1.04102,524
2022.11.25,05:30,1.04101,1.04156,1.04098,1.04147,536
2022.11.25,05:45,1.04147,1.04184,1.04128,1.04162,592
2022.11.25,06:00,1.04162,1.04293,1.04162,1.04254,931
2022.11.25,06:15,1.04255,1.04280,1.04252,1.04256,526
2022.11.25,06:30,1.04255,1.04255,1.04193,1.04202,668
2022.11.25,06:45,1.04204,1.04222,1.04180,1.04214,623
2022.11.25,07:00,1.04215,1.04222,1.04171,1.04182,466
2022.11.25,07:15,1.04183,1.04190,1.04110,1.04120,426
2022.11.25,07:30,1.04119,1.04146,1.04105,1.04120,574
2022.11.25,07:45,1.04121,1.04128,1.04074,1.04111,625
2022.11.25,08:00,1.04110,1.04127,1.04084,1.04084,704
2022.11.25,08:15,1.04085,1.04120,1.04072,1.04096,680
2022.11.25,08:30,1.04095,1.04200,1.04092,1.04189,827
2022.11.25,08:45,1.04190,1.04230,1.04168,1.04200,753
2022.11.25,09:00,1.04201,1.04222,1.04175,1.04185,963
2022.11.25,09:15,1.04186,1.04217,1.04111,1.04190,1175
2022.11.25,09:30,1.04189,1.04224,1.04157,1.04180,1238
2022.11.25,09:45,1.04181,1.04190,1.04086,1.04089,1311
2022.11.25,10:00,1.04089,1.04196,1.04077,1.04184,2056
2022.11.25,10:15,1.04185,1.04275,1.04178,1.04209,1681
2022.11.25,10:30,1.04208,1.04264,1.04173,1.04203,1259
2022.11.25,10:45,1.04204,1.04234,1.04162,1.04227,1400
2022.11.25,11:00,1.04226,1.04282,1.04168,1.04195,1244
2022.11.25,11:15,1.04197,1.04203,1.04122,1.04122,1307
2022.11.25,11:30,1.04121,1.04200,1.04022,1.04028,1720
2022.11.25,11:45,1.04030,1.04033,1.03822,1.03932,2036
2022.11.25,12:00,1.03933,1.04067,1.03911,1.04060,1293
2022.11.25,12:15,1.04061,1.04201,1.04032,1.04197,1164
2022.11.25,12:30,1.04197,1.04216,1.04152,1.04162,1303
2022.11.25,12:45,1.04163,1.04196,1.04145,1.04149,979
2022.11.25,13:00,1.04147,1.04148,1.04016,1.04060,957
2022.11.25,13:15,1.04060,1.04072,1.04015,1.04051,884
2022.11.25,13:30,1.04050,1.04060,1.03983,1.04007,907
2022.11.25,13:45,1.04009,1.04021,1.03888,1.03901,1141
2022.11.25,14:00,1.03900,1.03969,1.03872,1.03926,1288
2022.11.25,14:15,1.03927,1.03976,1.03881,1.03921,1098
2022.11.25,14:30,1.03920,1.03942,1.03857,1.03868,1125
2022.11.25,14:45,1.03870,1.03891,1.03760,1.03788,1311
2022.11.25,15:00,1.03787,1.03832,1.03730,1.03749,1772
2022.11.25,15:15,1.03749,1.03774,1.03612,1.03642,2090
2022.11.25,15:30,1.03641,1.03741,1.03620,1.03666,1649
2022.11.25,15:45,1.03667,1.03747,1.03647,1.03726,1218
2022.11.25,16:00,1.03726,1.03736,1.03620,1.03642,1579
2022.11.25,16:15,1.03643,1.03643,1.03547,1.03617,1420
2022.11.25,16:30,1.03617,1.03743,1.03591,1.03741,1974
2022.11.25,16:45,1.03742,1.03887,1.03724,1.03816,1552
2022.11.25,17:00,1.03815,1.03862,1.03777,1.03782,1387
2022.11.25,17:15,1.03783,1.03907,1.03767,1.03884,1227
2022.11.25,17:30,1.03883,1.04005,1.03872,1.03988,1304
2022.11.25,17:45,1.03988,1.04070,1.03979,1.04069,1752
2022.11.25,18:00,1.04068,1.04114,1.03984,1.03994,1592
2022.11.25,18:15,1.03995,1.04053,1.03934,1.03949,1279
2022.11.25,18:30,1.03948,1.03988,1.03914,1.03985,1199
2022.11.25,18:45,1.03986,1.04080,1.03985,1.04012,995
2022.11.25,19:00,1.04011,1.04091,1.03985,1.04062,1088
2022.11.25,19:15,1.04064,1.04075,1.04009,1.04066,733
2022.11.25,19:30,1.04065,1.04090,1.04015,1.04026,813
2022.11.25,19:45,1.04029,1.04068,1.04001,1.04061,843
2022.11.25,20:00,1.04060,1.04062,1.03969,1.04013,814
2022.11.25,20:15,1.04014,1.04025,1.04004,1.04024,139
2022.11.25,20:30,1.04022,1.04052,1.04015,1.04021,544
2022.11.25,20:45,1.04022,1.04035,1.03976,1.04016,1981
2022.11.25,21:00,1.04016,1.04023,1.03982,1.04008,2535
2022.11.25,21:15,1.04008,1.04077,1.04006,1.04032,1949
2022.11.25,21:30,1.04030,1.04077,1.04015,1.04074,1064
2022.11.25,21:45,1.04073,1.04145,1.04061,1.04113,502
2022.11.25,22:00,1.04116,1.04130,1.04076,1.04114,1536
2022.11.25,22:15,1.04113,1.04130,1.04110,1.04125,311
2022.11.25,22:30,1.04125,1.04143,1.04105,1.04109,445
2022.11.25,22:45,1.04109,1.04126,1.04085,1.04086,608
2022.11.25,23:00,1.04090,1.04092,1.04076,1.04076,454
2022.11.25,23:15,1.04077,1.04094,1.04076,1.04080,368
2022.11.25,23:30,1.04081,1.04083,1.03967,1.03967,284
2022.11.25,23:45,1.03967,1.03992,1.03940,1.03940,72
2022.11.28,00:00,1.03719,1.03770,1.03719,1.03758,69
2022.11.28,00:15,1.03759,1.03761,1.03741,1.03748,25
2022.11.28,00:30,1.03747,1.03790,1.03664,1.03731,319
2022.11.28,00:45,1.03733,1.03768,1.03733,1.03748,831
2022.11.28,01:00,1.03749,1.03809,1.03749,1.03775,564
2022.11.28,01:15,1.03774,1.03801,1.03713,1.03714,551
2022.11.28,01:30,1.03714,1.03724,1.03671,1.03673,607
2022.11.28,01:45,1.03673,1.03708,1.03656,1.03671,621
2022.11.28,02:00,1.03671,1.03769,1.03657,1.03743,1007
2022.11.28,02:15,1.03744,1.03833,1.03744,1.03827,644
2022.11.28,02:30,1.03825,1.03836,1.03772,1.03833,966
2022.11.28,02:45,1.03834,1.03838,1.03770,1.03782,873
2022.11.28,03:00,1.03781,1.03804,1.03694,1.03694,1016
2022.11.28,03:15,1.03695,1.03726,1.03632,1.03632,1199
2022.11.28,03:30,1.03632,1.03636,1.03416,1.03438,1590
2022.11.28,03:45,1.03439,1.03487,1.03410,1.03482,1336
2022.11.28,04:00,1.03481,1.03520,1.03431,1.03517,1447
2022.11.28,04:15,1.03518,1.03581,1.03510,1.03526,1538
2022.11.28,04:30,1.03527,1.03630,1.03527,1.03625,1119
